
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 5000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
1 99.85 0 0 0 0.62164116 0.015563965
2 99.7 0 0 0 0.9346105 0.03206743
3 99.549995 0 0 0 1.5749006 0.01556594
4 99.399994 0 0 0 1.8878603 0.03110933
5 99.24999 0 0 0 2.5096653 0.031989153
6 99.09999 0 0 0 3.1493597 0.015572483
7 98.94999 0 0 0 3.4623194 0.03111075
8 98.79999 0 0 0 4.0842714 0.046673138
9 98.64999 0 0 0 5.0188723 0.046673138
10 98.499985 0 0 0 5.953473 0.046673138
11 98.34998 0 0 0 6.887926 0.03188866
12 98.19998 0 0 0 7.526116 0.015568569
13 98.04998 0 0 0 7.838921 0.015567529
14 97.89998 0 0 0 8.151727 0.015566512
15 97.74998 0 0 0 8.464693 0.031812012
16 97.599976 0 0 0 9.098889 0.04665531
17 97.449974 0 0 0 10.033334 0.031118684
18 97.29997 0 0 0 10.654975 0.015588372
19 97.14997 0 0 0 10.96794 0.031704843
20 96.99997 0 0 0 11.600963 0.015619602
21 96.84997 0 0 0 11.915675 0.015614116
22 96.69997 0 0 0 12.230386 0.015627833
23 96.549965 0 0 0 12.545254 0.031103259
24 96.39996 0 0 0 13.171017 0.04665599
25 96.24996 0 0 0 14.101654 0.031607293
26 96.09996 0 0 0 14.733344 0.031115258
27 95.94996 0 0 0 15.351353 0.03366135
28 95.79996 0 0 0 16.022882 0.031111734
29 95.649956 0 0 0 16.644833 0.046552908
30 95.499954 0 0 0 17.575462 0.03110354
31 95.34995 0 0 0 18.193443 0.03110354
32 95.19995 0 0 0 18.811275 0.015930243
33 95.04995 0 0 0 19.131859 0.031095047
34 94.89995 0 0 0 19.74984 0.031095047
35 94.74995 1 1 0 20.371525 0.031108856
36 94.599945 1 1 0 20.99333 0.03206743
37 94.44994 1 1 0 21.634346 0.04667288
38 94.29994 1 1 0 22.5688 0.031989153
39 94.14994 1 1 0 23.209816 0.046673138
40 93.99994 1 1 0 24.144106 0.015573124
41 93.84994 1 1 0 24.456911 0.015573124
42 93.699936 1 1 0 24.770027 0.046673138
43 93.549934 1 1 0 25.704481 0.03188866
44 93.39993 1 1 0 26.343115 0.031807672
45 93.24993 1 1 0 26.976349 0.03111821
46 93.09993 1 1 0 27.59815 0.031704843
47 92.94993 1 1 0 28.23139 0.03158045
48 92.79993 1 1 0 28.864624 0.031112995
49 92.649925 1 1 0 29.48642 0.031112995
50 92.49992 1 1 0 30.10822 0.031476058
51 92.34992 1 1 0 30.736544 0.03135057
52 92.19992 1 1 0 31.362307 0.04660443
53 92.04992 1 1 0 32.292965 0.033168174
54 91.89992 1 1 0 32.953705 0.04655385
55 91.749916 1 1 0 33.884335 0.030871939
56 91.599915 1 1 0 34.502472 0.046520874
57 91.44991 1 1 0 35.4331 0.031101977
58 91.29991 1 1 0 36.05108 0.030688906
59 91.14991 1 1 0 36.66143 0.030519508
60 90.99991 1 1 0 37.271786 0.031097716
61 90.84991 1 1 0 37.88962 0.016321778
62 90.699905 1 1 0 38.217827 0.030415984
63 90.549904 2 1 0 38.828186 0.031124376
64 90.3999 2 1 0 39.453648 0.016435724
65 90.2499 2 1 0 39.781857 0.031099873
66 90.0999 2 1 0 40.40025 0.0303135
67 89.9499 2 1 0 41.01061 0.03112221
68 89.7999 2 1 0 41.63607 0.016548049
69 89.649895 2 1 0 41.966652 0.016435724
70 89.49989 2 1 0 42.29486 0.03109131
71 89.34989 2 1 0 42.913 0.04641918
72 89.19989 2 1 0 43.84207 0.046348907
73 89.04989 2 1 0 44.76508 0.031104505
74 88.89989 2 1 2 45.390686 0.031108856
75 88.749886 2 1 2 46.01614 0.015563965
76 88.599884 2 1 2 46.329254 0.04667282
77 88.44988 2 1 2 47.259888 0.031108856
78 88.29988 2 1 2 47.885498 0.031108856
79 88.14988 2 1 2 48.51111 0.031108856
80 87.99988 2 1 2 49.13687 0.04667282
81 87.84988 2 1 2 50.067513 0.03206743
82 87.699875 2 1 2 50.708374 0.031109441
83 87.54987 2 1 2 51.333828 0.015566956
84 87.39987 2 1 2 51.64679 0.031109441
85 87.24987 2 1 2 52.272552 0.046672918
86 87.09987 2 1 2 53.21052 0.015566595
87 86.94987 2 1 2 53.52349 0.03198462
88 86.799866 2 1 2 54.16451 0.046654217
89 86.649864 2 1 2 55.10261 0.015558413
90 86.49986 2 1 2 55.415604 0.0344024
91 86.34986 2 1 2 56.102375 0.04665599
92 86.19986 2 1 2 57.03983 0.031104406
93 86.04986 2 1 2 57.665592 0.046656184
94 85.89986 2 1 2 58.596226 0.031105598
95 85.749855 2 1 2 59.22199 0.04665638
96 85.59985 2 1 2 60.152466 0.015640456
97 85.44985 2 1 2 60.46543 0.031599075
98 85.29985 2 1 2 61.09882 0.046620376
99 85.14985 2 1 2 62.029297 0.015664397
100 84.99985 2 1 2 62.342255 0.031117624
101 84.849846 2 1 2 62.960083 0.015652023
102 84.699844 2 1 2 63.273197 0.04661985
103 84.54984 3 1 2 64.20368 0.015652023
104 84.39984 3 2 2 64.52448 0.031108856
105 84.24984 3 2 2 65.150246 0.04667282
106 84.09984 3 2 2 66.08089 0.03206743
107 83.94984 3 2 2 66.72175 0.03110933
108 83.799835 3 2 2 67.34736 0.03110933
109 83.64983 3 2 2 67.97282 0.01556594
110 83.49983 3 2 2 68.29356 0.04667288
111 83.34983 3 2 2 69.22419 0.03110933
112 83.19983 3 2 2 69.8498 0.03110933
113 83.04983 3 2 2 70.47542 0.031989153
114 82.899826 3 2 2 71.11629 0.031884227
115 82.749825 3 2 2 71.75715 0.031114118
116 82.59982 3 2 2 72.38276 0.031114474
117 82.44982 3 2 2 73.00837 0.031114474
118 82.29982 3 2 2 73.63413 0.046654623
119 82.14982 4 2 2 74.56492 0.046654742
120 81.99982 4 2 2 75.4954 0.015571829
121 81.849815 5 2 2 75.81599 0.031114474
122 81.699814 6 2 2 76.44175 0.046654742
123 81.54981 6 2 2 77.372536 0.046654742
124 81.39981 6 2 2 78.30302 0.015593156
125 81.24981 6 2 2 78.62376 0.046654742
