
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 1000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
1 99.85 0 0 0 0.62164116 0.015563965
2 99.7 0 0 0 0.9346105 0.03206743
3 99.549995 0 0 0 1.5752115 0.04667288
4 99.399994 0 0 0 2.5098124 0.046672918
5 99.24999 0 0 0 3.444266 0.03198462
6 99.09999 0 0 0 4.083962 0.031110968
7 98.94999 0 0 0 4.705766 0.03188866
8 98.79999 0 0 0 5.344112 0.031113774
9 98.64999 0 0 0 5.9659142 0.031807672
10 98.499985 0 0 0 6.6002626 0.01558696
11 98.34998 0 0 0 6.9140215 0.015584206
12 98.19998 0 0 0 7.228091 0.046655152
13 98.04998 0 0 0 8.162692 0.046655152
14 97.89998 0 0 0 9.0971365 0.03111821
15 97.74998 0 0 0 9.718932 0.03111821
16 97.599976 0 0 0 10.340734 0.031704843
17 97.449974 0 0 0 10.973939 0.03157635
18 97.29997 0 0 0 11.605111 0.015659157
19 97.14997 0 0 0 11.916009 0.01565236
20 96.99997 0 0 0 12.228425 0.01562682
21 96.84997 0 0 0 12.543446 0.046657257
22 96.69997 0 0 0 13.474232 0.04661935
23 96.549965 0 0 0 14.404868 0.03147209
24 96.39996 0 0 0 15.036194 0.031128146
25 96.24996 0 0 0 15.654175 0.031128146
26 96.09996 0 0 0 16.272005 0.015696412
27 95.94996 0 0 0 16.588932 0.04662153
28 95.79996 0 0 0 17.519564 0.031294122
29 95.649956 0 0 0 18.141357 0.031111335
30 95.499954 0 0 0 18.759495 0.04658761
31 95.34995 0 0 0 19.690125 0.03111863
32 95.19995 0 0 0 20.308262 0.046588838
33 95.04995 0 0 0 21.238892 0.031127673
34 94.89995 0 0 0 21.856874 0.030984104
35 94.74995 0 0 0 22.475601 0.016041074
36 94.599945 0 0 0 22.799849 0.015955117
37 94.44994 0 0 0 23.120432 0.030919481
38 94.29994 0 0 0 23.73857 0.046449937
39 94.14994 0 0 0 24.6692 0.031120852
40 93.99994 0 0 2 25.291006 0.03206743
41 93.84994 0 0 2 25.932022 0.04667288
42 93.699936 0 0 2 26.866623 0.04667288
43 93.549934 0 0 2 27.801224 0.046672918
44 93.39993 0 0 2 28.735514 0.015566256
45 93.24993 0 0 2 29.04863 0.046672918
46 93.09993 0 0 2 29.98292 0.015566595
47 92.94993 0 0 2 30.295889 0.03198462
48 92.79993 0 0 2 30.936594 0.015555419
49 92.649925 0 0 2 31.249563 0.031884227
50 92.49992 0 0 2 31.887705 0.031114474
51 92.34992 0 0 2 32.51247 0.015569632
52 92.19992 0 0 2 32.825436 0.03178477
53 92.04992 0 0 2 33.458675 0.031677816
54 91.89992 0 0 2 34.091755 0.015619602
55 91.749916 0 0 2 34.40472 0.03158045
56 91.599915 0 0 2 35.037956 0.03147209
57 91.44991 0 0 2 35.663567 0.031105401
58 91.29991 0 0 2 36.289177 0.03134674
59 91.14991 0 0 2 36.914635 0.015741022
60 90.99991 0 0 2 37.23507 0.01572863
61 90.84991 0 0 2 37.555653 0.03109393
62 90.699905 0 0 2 38.17379 0.04662248
63 90.549904 0 0 2 39.10442 0.031096965
64 90.3999 0 0 2 39.722424 0.033234596
65 90.2499 0 0 2 40.383537 0.04655385
66 90.0999 0 0 2 41.314323 0.04655531
67 89.9499 0 0 2 42.24511 0.046518713
68 89.7999 0 0 2 43.17559 0.015997233
69 89.649895 0 0 2 43.49619 0.032458566
70 89.49989 0 0 2 44.141586 0.046417076
71 89.34989 0 0 2 45.07207 0.016352786
72 89.19989 0 0 2 45.40028 0.031118788
73 89.04989 0 0 2 46.018257 0.030415984
74 88.89989 0 0 2 46.628605 0.030151948
75 88.749886 0 0 2 47.230377 0.030597819
76 88.599884 0 0 2 47.83733 0.029251074
77 88.44988 0 0 2 48.417473 0.045807004
78 88.29988 0 0 2 49.3326 0.028150009
79 88.14988 0 0 4 49.91391 0.031109003
80 87.99988 0 0 4 50.539673 0.04667286
81 87.84988 0 0 4 51.47015 0.015564712
82 87.699875 0 0 4 51.78311 0.031109003
83 87.54987 0 0 4 52.40873 0.032025907
84 87.39987 0 0 4 53.0496 0.031925038
85 87.24987 0 0 4 53.690617 0.04665431
86 87.09987 0 0 4 54.629032 0.04665431
87 86.94987 0 0 4 55.567448 0.046654407
88 86.799866 0 0 4 56.50555 0.01556268
89 86.649864 0 0 4 56.818516 0.031839292
90 86.49986 0 0 4 57.45191 0.04665501
91 86.34986 0 0 4 58.39017 0.03171331
92 86.19986 0 0 4 59.02341 0.031607293
93 86.04986 0 0 4 59.656647 0.031112265
94 85.89986 0 0 4 60.282257 0.031112265
95 85.749855 0 0 4 60.907867 0.03148004
96 85.59985 0 0 4 61.533478 0.03135442
97 85.44985 0 0 4 62.160324 0.031226741
98 85.29985 0 0 4 62.779858 0.04658801
99 85.14985 0 0 4 63.710644 0.046588838
100 84.99985 0 0 4 64.64113 0.015853038
101 84.849846 0 0 4 64.96187 0.046588838
102 84.699844 0 0 4 65.89235 0.015853038
103 84.54984 0 0 4 66.21294 0.03111863
104 84.39984 0 0 4 66.83855 0.031049386
105 84.24984 0 0 4 67.46417 0.03253939
106 84.09984 0 0 4 68.10938 0.031100739
107 83.94984 0 0 4 68.735146 0.046452504
108 83.799835 0 0 4 69.66578 0.031120852
109 83.64983 0 0 4 70.29154 0.046417076
110 83.49983 0 0 4 71.222176 0.031108623
111 83.34983 0 0 4 71.84778 0.030303033
112 83.19983 0 0 4 72.45499 0.031107072
113 83.04983 0 0 4 73.08045 0.016639963
114 82.899826 0 0 4 73.416275 0.030159278
115 82.749825 0 0 4 74.011536 0.04621361
116 82.59982 0 0 6 74.94202 0.015563976
117 82.44982 0 0 6 75.24736 0.032062806
118 82.29982 0 0 6 75.888374 0.046672918
119 82.14982 0 0 6 76.818855 0.015566595
120 81.99982 0 0 6 77.13945 0.03198462
121 81.849815 0 0 6 77.78016 0.015573124
122 81.699814 0 0 6 78.1009 0.046673138
123 81.54981 0 0 6 79.03154 0.03188866
124 81.39981 0 0 6 79.6724 0.031113774
125 81.24981 0 0 6 80.29804 0.034275282
126 81.09981 1 1 6 80.98507 0.032058194
127 80.94981 1 1 6 81.62608 0.046672918
128 80.799805 1 1 6 82.556725 0.031961568
129 80.6498 1 1 6 83.19759 0.031884227
130 80.4998 1 1 6 83.8383 0.015566512
131 80.3498 1 1 6 84.15904 0.04665451
132 80.1998 1 1 6 85.089676 0.031113774
133 80.0498 2 1 6 85.71513 0.015566512
134 79.899796 2 1 6 86.03557 0.015565519
135 79.749794 2 1 6 86.35608 0.023335887
136 79.59979 2 1 6 86.82921 0.03430913
137 79.44979 2 1 6 87.51567 0.015607124
138 79.29979 2 1 6 87.83626 0.031634174
139 79.14979 2 1 6 88.46189 0.033778116
140 78.99979 2 1 6 89.133095 0.015715279
141 78.849785 2 1 6 89.43845 0.03341834
142 78.69978 2 1 6 90.10997 0.04658761
143 78.54978 3 2 6 91.04521 0.031108864
144 78.39978 3 2 6 91.670975 0.04667282
145 78.24978 3 2 6 92.60161 0.031108864
146 78.09978 3 2 6 93.22722 0.031108864
147 77.949776 3 2 6 93.85283 0.031108864
148 77.799774 3 2 6 94.47829 0.015563976
149 77.64977 3 2 6 94.78363 0.032062806
150 77.49977 4 2 6 95.42434 0.015566956
151 77.34977 5 2 6 95.74508 0.046672918
152 77.19977 5 2 6 96.675865 0.046672918
153 77.04977 5 2 6 97.60665 0.046672918
154 76.899765 5 2 6 98.537285 0.031109564
155 76.74976 5 2 6 99.162926 0.034606162
156 76.59976 5 2 6 99.84955 0.03174468
157 76.44976 5 2 6 100.48538 0.031102704
158 76.29976 5 2 6 101.111145 0.04665581
159 76.14976 5 2 6 102.04193 0.04665599
160 75.999756 5 2 6 102.972565 0.031607293
161 75.849754 5 2 6 103.59833 0.046619594
162 75.69975 5 2 6 104.52896 0.031116037
163 75.54975 5 2 6 105.15457 0.03146418
164 75.39975 5 2 6 105.78018 0.031091964
165 75.24975 5 2 6 106.405945 0.04662248
166 75.09975 5 2 6 107.33658 0.031271584
167 74.949745 5 2 6 107.96234 0.046588425
168 74.79974 5 2 6 108.89282 0.015849195
